Wavelength,Total Matrices,Existing Matrices,Sum of Max Values
0094,9088,9020,1074325.5385499
0131,9088,9016,3916314.790172577
0171,9088,9025,29223911.75756836
0193,9088,9026,46254094.95465088
0211,9088,9008,21473732.05380249
0304,9088,9020,16044055.174468994
0335,9088,9020,2042819.3551836014
1600,9088,9010,4820443.567871094
1700,9088,987,3643636.282470703
4500,9088,9031,367013526.5683594
